n:62 mse_avg:72.82 mse_y:107.64 mse_u:3.70 mse_v:2.64 psnr_avg:29.51 psnr_y:27.81 psnr_u:42.45 psnr_v:43.91 
n:63 mse_avg:65.67 mse_y:96.90 mse_u:3.81 mse_v:2.63 psnr_avg:29.96 psnr_y:28.27 psnr_u:42.32 psnr_v:43.94 
n:64 mse_avg:68.65 mse_y:101.37 mse_u:3.81 mse_v:2.63 psnr_avg:29.76 psnr_y:28.07 psnr_u:42.32 psnr_v:43.93 
n:65 mse_avg:66.10 mse_y:97.52 mse_u:3.90 mse_v:2.64 psnr_avg:29.93 psnr_y:28.24 psnr_u:42.22 psnr_v:43.91 
n:66 mse_avg:68.41 mse_y:100.94 mse_u:3.99 mse_v:2.72 psnr_avg:29.78 psnr_y:28.09 psnr_u:42.12 psnr_v:43.79 
n:67 mse_avg:60.37 mse_y:88.93 mse_u:3.90 mse_v:2.60 psnr_avg:30.32 psnr_y:28.64 psnr_u:42.22 psnr_v:43.98 
n:68 mse_avg:57.08 mse_y:84.03 mse_u:3.85 mse_v:2.53 psnr_avg:30.57 psnr_y:28.89 psnr_u:42.27 psnr_v:44.09 
n:69 mse_avg:54.56 mse_y:80.27 mse_u:3.83 mse_v:2.45 psnr_avg:30.76 psnr_y:29.09 psnr_u:42.30 psnr_v:44.23 
n:70 mse_avg:51.56 mse_y:75.82 mse_u:3.70 mse_v:2.38 psnr_avg:31.01 psnr_y:29.33 psnr_u:42.45 psnr_v:44.37 
n:71 mse_avg:50.60 mse_y:74.39 mse_u:3.64 mse_v:2.38 psnr_avg:31.09 psnr_y:29.42 psnr_u:42.52 psnr_v:44.37 
n:72 mse_avg:48.87 mse_y:71.85 mse_u:3.47 mse_v:2.36 psnr_avg:31.24 psnr_y:29.57 psnr_u:42.72 psnr_v:44.41 
n:73 mse_avg:53.38 mse_y:78.41 mse_u:4.04 mse_v:2.59 psnr_avg:30.86 psnr_y:29.19 psnr_u:42.07 psnr_v:43.99 
n:74 mse_avg:59.80 mse_y:87.81 mse_u:4.74 mse_v:2.84 psnr_avg:30.36 psnr_y:28.70 psnr_u:41.37 psnr_v:43.60 
n:75 mse_avg:69.01 mse_y:101.35 mse_u:5.43 mse_v:3.23 psnr_avg:29.74 psnr_y:28.07 psnr_u:40.78 psnr_v:43.04 
